"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120"
"onegroup" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"allgroups" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120
"kmmembership3" 3 2 2 2 2 3 3 3 3 2 2 3 2 3 3 2 3 3 3 3 3 3 2 2 2 2 3 3 2 3 2 2 2 3 2 3 2 2 2 3 2 3 2 2 2 2 3 3 3 3 3 3 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"kmmembership4" 3 2 2 3 1 1 2 2 3 3 2 2 3 3 2 2 1 1 3 2 2 1 2 2 1 3 3 3 1 2 1 1 1 2 1 3 1 1 1 1 3 2 3 3 3 1 1 2 2 2 3 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
"kmmembership5" 36 63 54 18 5 3 21 20 61 53 35 19 64 31 49 34 60 70 66 49 25 44 57 32 32 35 64 66 73 27 73 46 73 32 9 25 9 9 59 18 33 49 33 59 33 18 15 15 49 44 44 59 59 49 6 45 41 23 48 24 42 47 37 58 26 8 65 28 58 51 4 11 14 43 12 47 68 40 16 13 43 48 69 29 42 56 11 22 7 2 65 55 7 39 38 67 2 23 39 1 68 30 72 62 17 50 1 52 62 37 10 50 28 40 67 6 14 8 72 71
"hclustmembership3" 1 2 3 3 3 3 3 1 2 3 2 3 3 2 3 1 3 3 1 3 2 1 3 3 1 2 3 1 2 3 2 2 3 2 3 1 3 3 3 1 3 3 2 3 2 3 3 3 3 2 2 1 1 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
"hclustmembership4" 1 2 3 3 4 4 3 1 2 3 2 3 3 2 3 1 4 3 1 3 2 1 3 3 1 2 3 1 2 4 2 2 3 2 3 1 3 3 3 1 3 3 2 3 2 3 3 3 3 2 2 1 1 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
"hclustmembership5" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 29 29 31 32 33 34 33 33 35 36 37 37 38 39 38 39 24 24 20 38 38 22 22 38 40 41 42 43 44 45 46 47 48 49 50 51 52 53 49 54 55 53 56 57 58 47 59 60 58 61 57 62 63 61 46 64 50 65 66 67 52 55 66 68 64 69 67 43 68 42 46 45 70 71 63 72 44 73 71 48 51 72 41 60 69 40 56 51 70 73
"optgrouping001" 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 5 5 5 5 5 5 1 1 1 1 1 1 6 6 6 7 7 7 1 1 1 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
"optgrouping010" 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 5 5 5 5 5 5 1 1 1 1 1 1 6 6 6 7 7 7 1 1 1 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
