"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",1278230.1536577,76258.2519059369,76668.8271351965,73956.2090887572,70990.166025274,69463.3030689345,68889.4498929338,68674.7857300624,68647.0725027406,68758.6597979037,69059.3195197852,69113.9669264656,69178.0306707814,69474.4376306956,68780.1774214266,67922.5260600431,67056.8672531192,66258.8697433442,65796.4194344992,65425.8305870644,65013.4445293435,64673.0851347896,64766.9607622684,64852.1396555088,64950.2010038861,65078.4298082121,65273.6288917327,65566.6273941754,65835.15711685,66085.4133579222,66628.6504610672,67400.2664989567,68370.5041446899,69527.943397874,70838.2380468132,72361.9629043615,73924.1365680152,75732.9193213284,77463.6702202558,79420.5492221406,81419.1197308949,82650.8722701443,85222.9541040922,88299.7071651122,91819.6859596707,95784.6229820843,99815.7182956113,104096.076459748,106360.85777858,107606.989334773,109006.581464827,110734.266299728,113183.323848399,116176.545223993,119630.681675982,123442.47034316,127341.021919272,131948.725568856,137834.186599691,144535.350671164,151631.528819132,158801.617003399,165735.692895068,173363.539553364,181814.28284909,189898.002640576,198707.922919202,208642.653042783,219913.599637747,233171.759283655,249401.549206767,267464.876791388,288365.815761918,310471.146991174,334104.545787923,360420.299613576,386042.75614749,413932.181042371,439829.988111959,468051.876400371,499941.626323801,536862.956619745,574784.978537819,606038.499329971,634638.526423969,663464.83660304,697595.799139475,737038.880370976,777176.930650083,826274.822784333,885123.475812123,955294.273971487,1039033.15716155,1139038.59383859,1258553.46424133,1278230.1536577,1278230.1536577,1278230.1536577,1278230.1536577,1278230.1536577
"errorsum",902582.257429718,66730.5122116739,67368.2356644598,67755.6999780451,67788.5563018043,66967.6780303907,65105.1144100493,63320.3101663011,62131.6661992501,61352.8509434242,60913.5209342042,60520.3600244725,60212.451706754,59497.2959410782,58479.9109573541,57615.1432002085,56903.5760785912,56330.1839603037,55879.2161438859,55558.0894285664,55327.5743454691,55096.5118500536,54888.0656845761,54691.9875409692,54500.0046489422,54342.7047493315,54166.7727476725,54009.6667702748,53865.0862461755,53696.1973693585,53421.1311489975,53159.5853370778,52872.8588554231,52592.8855155663,52364.3663012782,52129.0791741962,52118.7673773768,52174.4689185405,52231.3596396284,52747.1401992925,53162.8472041456,52866.1570582315,52297.5832334225,51933.837288902,51924.644049192,51878.5399179963,51994.4498959586,52696.240736032,53850.3480848716,54278.3193684997,56011.0294610396,56970.335604609,58301.3598855133,59509.8761507635,60382.8032490801,61202.7699499431,61776.4638389158,62739.9659376123,64147.2807361319,65874.928950672,67031.1876464994,68056.2598984709,68894.6137461999,69646.9117612413,70779.8252258508,72626.9529227529,74956.3697363548,77850.0919190812,81420.2839237684,85631.7635216643,91703.6466574524,99168.6812734477,108005.223193487,117392.291336236,127521.152063948,139872.630211179,152289.166764935,164725.468479618,177271.921463262,192005.259525649,209579.637357379,229509.662698714,249304.806357355,272951.880344529,290957.988628756,310226.822952467,333663.640730851,361657.218736008,382353.905639823,400090.02946991,422257.986156873,449841.195524966,484043.636037224,526296.644101687,577363.742501512,639331.226301029,714422.167080308,805460.742624553,855754.2764656,902582.257429718
"errorsum",817634.012445483,75252.6881388071,78168.3306357603,81237.5850628052,82199.4754560739,83274.3726742594,83689.3973358866,83986.4497588959,83621.0829898456,82593.2078869444,81530.7633042209,80466.4661488511,79688.3803894011,79620.2777251652,79360.8533431758,78953.4109459194,78491.7500651398,78011.996022083,77505.6400233111,77000.1206966444,76392.8676546833,74770.1550214848,73887.4550296132,73213.4456150575,72643.6133555486,72083.020112262,71540.7554561185,71051.6558204577,70591.5949874092,69135.0705311961,68596.143763769,68365.720502568,68389.6331534041,68477.499895226,68590.468401149,68720.8979708827,68880.3910644976,69109.8122745688,69326.7497548146,69530.0695282098,69779.4081383889,69025.0358961741,68784.4503599539,68604.901514225,68457.7880672448,68190.2674419013,67955.6782962001,66931.1175555092,66985.5182909183,67182.1126204679,67496.7389443738,68005.8206716264,68549.8913648428,69391.7158616081,70839.2131935197,71620.4913680567,72544.6099662565,73526.7843444367,74135.6172188283,74503.4229104454,75029.2222236331,75818.1095427383,76849.5290154801,78035.0097209451,79395.7269922725,81049.4942106758,83006.9658864514,85280.9765705844,88065.7079128193,91183.2630005212,94913.3199515667,99561.4540180521,104769.946986675,110103.334691901,116430.065817964,123640.731504721,131977.795909471,141550.898589092,152026.726571347,163662.983569572,177323.876801086,193448.198852313,212676.781957035,236085.408597733,263622.779714207,295497.917942972,332631.293569878,358358.356648539,379680.492470875,403875.349590322,432135.060990812,465508.115554701,505363.004046594,552991.835172408,609947.697179338,678097.711126818,759686.902737628,817634.012445483,817634.012445483,817634.012445483
"errorsum",935677.891525375,60481.5916393998,59700.30614452,58741.7752493938,58383.0312868145,58332.0497915046,58211.0771822228,58042.8628442181,57715.7713855275,57325.7778855483,56999.0427727748,56633.1922206028,56151.6480968517,55595.236990789,54987.7750779114,54308.4903964841,53645.736346014,52997.4804864181,52443.0683178446,51969.8662442574,51513.5035888508,51056.9268363595,50500.7317401325,49841.0456866944,49187.0688062185,48495.3647614546,47780.0189750827,47046.8164727523,46302.1548511865,49206.8617593017,48541.131643807,47903.4787518516,47227.3224018841,46468.5216583134,45764.6673722722,44857.429620154,44027.6556609161,43275.6284138031,42650.4128766984,42123.1792044419,41747.7807568979,41519.6049531166,40619.8047146536,40901.1416486393,41698.5184388351,42193.2487212113,42818.7556046375,43622.0194429825,44614.8245433837,45889.2693721773,47528.8549069559,49574.0863640296,51577.5579431723,53948.8518004817,56425.311975774,59347.9719029445,61872.1534242135,64877.9014688114,68320.8616476844,72150.5178321637,76301.3143612257,80574.7187971977,85157.5992257214,90163.8174528566,95508.6014464906,101044.6514101,105948.368303177,110932.585044092,117649.865558924,126053.567242021,135111.125057735,145562.242651196,157283.578690897,170127.470696693,185707.807756239,204673.406360865,224093.3925941,244963.286150804,267001.619046982,287360.352138818,310507.570620134,336880.761113807,365980.742620712,397234.346100191,433136.027210196,472537.306829879,509653.912508298,542142.308643223,579809.777891368,620856.617500428,669677.572584955,727904.44688545,797706.060683287,881417.035506729,935677.891525375,935677.891525375,935677.891525375,935677.891525375,935677.891525375,935677.891525375
"errorsum",1748402.92433659,62620.1403354499,63778.7950846162,65344.7586764802,65156.2473012997,64474.2774961147,63521.4205572458,62400.0984818199,61172.0939632644,60013.5373443515,58755.0651995848,57406.9210404569,56155.1188436682,54984.4012322522,54212.8459299109,53600.5292798316,53122.3366899086,53152.3769367016,53463.8247861892,53650.0582340619,53895.3159981796,54206.1294835475,54559.1240941098,54912.7775405058,55277.0403821759,55645.4610402418,56035.0215720277,56486.3064086998,57333.0451343162,58472.4085329885,59860.1081977489,61415.2341180094,63118.1252533839,64972.3347233386,66793.9459412131,68521.1857127591,70427.8235234878,72558.6068145085,74530.9573575187,77222.1170007538,70619.2155429106,72737.9766377685,74807.0257523506,76761.4072462268,79399.8819293298,80987.3454496064,82887.5946965254,84762.0717410588,87002.3473451491,88587.2872212153,90509.9270334346,93425.1085531102,97665.8752901557,102135.816214224,106956.968920966,112997.522228836,120264.891861332,128778.239711829,138875.202098472,146855.252252793,153143.801660682,161905.362934895,171449.965857296,182167.716592896,194197.721541276,207671.808569831,221949.78242469,236621.619036965,252944.396576038,268627.148872938,285005.421021044,300135.681833499,317184.019630513,335538.378776093,356020.713923255,378493.348574101,401742.611897076,423505.801846344,449674.549856004,481076.932972714,518957.404193987,563547.599547031,610580.562862605,661308.814401394,710475.82370163,741799.460644658,776319.070291287,813266.617805623,856891.770824355,909136.097296706,971732.772414918,1046766.53793175,1136745.31856481,1244686.45688982,1374220.55359181,1529716.51050917,1716432.10930832,1748402.92433659,1748402.92433659,1748402.92433659
"errorsum",1987609.58482209,97350.5722151287,101951.238226804,108505.869304025,115460.204568902,122043.260790549,127853.900350189,132787.68943684,136238.04669285,137829.710748481,140306.840764877,142371.039274095,144554.864302913,146441.112212741,148090.245798932,149529.415664608,150819.308435564,154614.18103729,154398.569450744,152771.846614745,151094.188211791,149867.226176673,148565.247048579,147913.090369886,148157.049623278,148477.783267611,148883.593634091,149502.881516658,149769.781886721,150614.355954837,151756.046746203,153222.43141141,155404.699052187,157331.522504744,159045.82331752,160740.113486087,162235.650478894,163206.649026084,164075.825819587,165141.614793801,165971.554096887,166639.263281992,169512.156088918,170975.205811813,173131.693825027,175460.263367601,177534.740568571,177937.462496932,177086.593912746,176457.357085445,176456.723840905,176366.998947648,176471.950036732,176831.699231335,177479.934298709,178408.750299366,179508.963443639,181204.876007978,183614.471023095,186731.149708171,190346.012996412,192961.304855265,195591.418549051,198201.949540061,201558.452945346,204951.960742377,208573.077901807,212088.767103973,216786.311975602,222628.784222316,229631.442595385,238605.679166434,247971.339892517,258086.688176415,267245.738809669,277853.280539997,289073.711727086,302017.646981064,317561.353480452,336186.931384435,358007.350546475,383554.530737327,414579.417704602,450840.128330961,492839.234005244,541873.106097746,599114.198441023,666122.321018013,735341.799732475,803475.473984138,893859.789390095,1003637.09053653,1135101.06135309,1291483.87412802,1478916.46123995,1704127.4037828,1974788.66333031,1987609.58482209,1987609.58482209,1987609.58482209
"errorsum",953138.564024074,102618.023694419,94638.7069600948,73855.3562724749,66327.1513697148,63782.3486926507,62816.5276932885,63052.1552660488,64154.9440651639,64469.3016329646,65076.8153553444,64694.0725298577,64264.8967643967,63873.9014771451,63636.3987868416,63371.7918564376,62826.8380663195,62281.2242865865,61764.3968859218,61288.2302354339,60865.2317265972,60268.8665387909,59749.2133310209,59482.8816392822,58672.2060548816,57382.828857361,56124.2868990878,55169.6363540067,54459.5266949898,53735.2020584925,53050.7563815828,52145.5618101027,51941.7850393221,52069.563786408,51976.2758327114,51513.6618665995,50182.4950698889,48681.8633251612,47108.1364946032,45319.5384744674,43752.127160495,42477.8463374876,41696.7025479237,41146.0468277356,41106.2617111057,41562.6168067436,41776.6802959126,42308.4096275054,42785.8246059318,43445.9277090792,44441.0789250144,45461.4253449926,46578.128394162,47815.0909452551,48702.6164319963,49302.9223030091,50080.134869419,50862.7640854143,52299.6354858637,53542.7902432736,54897.2507061842,56625.9611577588,58731.97075824,60989.2478303295,63769.4182171252,66469.8176784816,68816.7326989206,71057.1431907789,73825.6971452014,76903.3709930656,80663.0346956001,85427.9791832801,91247.8656228824,98074.7348947482,106213.800418659,115740.830047123,126239.811862441,137974.313747297,151460.986180843,166973.988001072,184988.984392558,198645.226467664,215159.133836983,231048.733557512,246750.839470199,265850.159250584,286118.610551673,310561.293508029,340907.706136721,362175.759883057,382241.268742712,406783.345853072,436751.739147511,473295.441041585,517855.401067848,572397.580197838,640200.251845328,722582.994634033,822580.521689124,878047.031143906
"errorsum",910074.665326402,70461.4570942774,69298.7530471021,68347.6231402621,67484.5964734147,66719.5145038482,66091.7298197409,65554.6883239661,65074.9154469208,64616.2047843485,64154.8187474981,63667.469360543,63272.369809906,62660.8142768204,61883.6513130283,60960.8103012438,59475.5594287111,57573.7036785212,55566.508999058,53469.7219965539,51253.5455608629,48996.3606075176,46932.7152017028,46002.675658166,44528.6886570002,42627.4672307707,40686.5490067105,39166.4726797127,37673.3981857631,36440.2304264056,36742.5682551865,35250.5312230272,34083.0442274772,33133.5621587648,32474.5741674501,31967.4142098373,31238.534484228,30615.9580812498,30034.4876351833,29471.6454267524,28943.5153408937,28661.6093078521,28495.8430478245,28328.3663227499,28185.8516246136,28056.1093499697,27920.7855910842,27866.3627832675,27919.7580953209,28459.5338977278,29155.9303271728,29984.6947624048,31646.7456400928,33225.0746489622,34896.3185761908,36671.8202094827,39053.1978816224,41271.8526352983,43661.1896984637,46151.2343466474,49228.9695827466,52500.6621704195,55032.1219128789,58050.817742152,61750.4427048425,66257.708759566,71253.5934567356,76866.4549733355,83369.316008974,90475.6304194039,98705.520508841,106941.02420231,116248.638643672,127549.439703772,140329.58249264,154002.530569259,168828.148963409,185500.250707384,205159.079247686,223250.2134079,243864.464806429,267804.447812534,297206.731738403,325219.216853868,356593.124184293,391572.553601036,426595.555040724,461047.249618749,497919.783231937,542362.983850351,596268.002755595,661606.184900055,740755.56825055,836584.399679499,910074.665326402,910074.665326402,910074.665326402,910074.665326402,910074.665326402,910074.665326402
"errorsum",979579.940671417,66487.7430853193,68467.7754385434,72562.4844469589,72973.2550000462,73679.1259740199,72952.871218913,71663.3121866646,70684.395105723,69855.0417494982,69513.2464477002,69259.7414557826,69090.4641420649,69016.7916939601,68941.0523623963,68761.7621743525,68015.2949929368,67753.6081410662,67834.4598655939,68065.6402497137,68268.6574780839,68531.5361412865,68768.071256157,68499.443520956,68206.8494366688,68232.0897088152,68036.4235864525,67760.0528706158,67263.0694776151,66900.1230659678,66605.0697670039,66160.4689821936,65692.9153703978,65125.0239328912,64471.5553397622,63789.518435206,63139.7654786709,62405.1060160835,61866.3717874099,61368.7298004619,60935.0815301126,60419.2504773492,59923.6207940421,59142.4501536812,58605.3345768005,58252.1315484642,58009.0113462769,57965.570372742,58047.0803952844,58247.9314387563,58550.5752275606,58998.9568814672,59605.5638831847,60932.0022962193,62318.9859407726,63848.1269053423,65773.2169238885,67973.647523153,70438.8859435223,72559.5928274321,74854.5177183941,77197.98975504,78890.7481902518,80848.9018392819,82884.5221239902,85301.9274368265,88407.0341006419,92024.0799150572,96389.958567856,101494.82968355,106956.294435727,112646.922922586,118759.935282884,126221.652015052,135174.579723899,147323.576869514,160372.935430108,174944.84324236,193423.610157386,216242.376361189,242019.978961949,271775.255399448,306307.408632244,333024.812003666,361937.276247986,395062.927084543,430126.992490341,463514.444608007,500650.556094444,544882.00394432,597608.553762276,660537.557552456,735654.256960519,825446.734745886,921976.601192163,979579.940671417,979579.940671417,979579.940671417,979579.940671417,979579.940671417
"errorsum",885383.863469811,102343.388709806,106396.382571636,111517.435319821,104370.073855638,103743.884216888,103138.606222556,102884.508128157,103229.329146311,103621.708185486,103573.357381063,103209.241028241,102593.529235323,101827.660560302,100951.336290429,100032.345580263,98927.5938930251,98175.0677994419,97709.7808382343,97376.2160999769,97357.2836653834,97313.1377554474,97303.2381565007,97263.1647560113,97161.9260928905,97153.6603230288,96741.851699238,96018.4123934762,95217.5009522731,93650.614748675,91641.01350695,84871.677172644,83203.1576467021,82187.6993170026,81332.9389337454,80427.1169161655,79695.7594351937,78827.058703342,77591.4945338866,76216.3956426769,75092.8848323248,74289.8223906214,76209.3519025807,75385.3515738839,74480.6306372546,73492.4561858413,72842.2981955682,72489.8187020911,71757.8139124224,70776.1232278694,69938.2681984455,69224.8295154742,68551.5956309767,68077.1763390252,67854.5338494242,67913.3262040782,67591.3488723811,68177.2356560374,69334.4006476319,70724.4006670689,72136.7024957306,73750.8448417798,75598.2717981136,77738.8943227184,80218.0612104524,83131.272815491,86401.0998830314,89834.0124602057,92771.8093860805,96100.5010140617,100378.921539053,105327.090665588,109483.514949118,114439.616247917,120217.496501268,126963.140615917,134310.41034806,143314.681306199,155031.079039306,169706.506685338,187529.801505011,208139.738202303,231787.171572096,259946.051920588,293221.089164432,323125.052067916,349398.912180662,374514.769187581,390248.618502627,413031.614932303,442827.609119292,479749.236422785,525526.144796439,582562.976937617,653860.762756054,742589.09471952,852590.442617032,885383.863469811,885383.863469811,885383.863469811
