"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",842040.177533966,819780.052514141,837407.253006755,818030.40991803,829328.402198556,825898.858475102,825108.461026461,847707.103565312,830487.288790592,827103.047003455,847180.268894522,821865.600360465,820627.825630553,833740.305433865,832723.901854024,845548.805508333,837006.816623891,828260.852199644,836131.468288164,838242.536609388,841648.178921079,842343.348443539,837932.808726666,815197.713645998,869638.946844455,823233.811536002,810223.28670372,835328.154942396,846851.92675671,842127.920605041,818816.643230862,842439.988876542,848722.017309008,837582.530156653,827370.705217704,837679.846400217,817657.361948113,836351.718267997,817233.577887711,837070.340458045,836384.232086627,847593.32610422,839901.44907905,802738.443492543,811265.800598003,829557.312526329,851293.312893842,824362.323078766,841264.98856321,830175.639199195,829095.732318101,840827.173144702,848360.981576683,825529.71094256,849822.234777365,820256.742096317,817212.24993937,845824.408281579,821216.993328,837821.762028406,838653.837125956,836172.355441047,844182.661948288,827303.736261988,838275.604501171,824258.721664482,831829.728936974,823724.941516848,835076.146801127,848012.423786016,853351.810145952,844153.555217796,845117.967591076,842437.636840223,841144.109846792,819560.713280229,851187.688807781,823578.792637985,840457.450147096,826914.756246698,819377.338138635,844241.191959111,799161.574122059,821407.593423647,838309.626663538,830787.875320871,843666.683865137,816241.604709976,826623.7132438,838677.727273157,814035.839179586,839605.309337106,810068.479259595,821334.8159413,822236.690351372,851956.658465044,844239.558639059,859939.258041169,838082.535296379,826220.539815187
"errorsum",854528.52113118,816279.293353339,830570.51208701,845374.295548238,830100.641634798,842974.433121527,842292.183572731,826353.326576035,822318.709042991,825668.428756344,827632.607237788,829531.65881085,825978.364185481,848994.718987949,833177.728706201,817240.457719173,830690.881561651,831578.10161353,855371.069273314,821335.949038729,827730.910516742,853283.850891332,823032.19161866,839947.175546934,846084.542705468,827508.30388003,821379.36762523,836873.867915094,838844.64286206,843388.345343756,839713.939036698,831178.848111335,835998.766796803,825595.392134826,831408.295644616,845417.174848259,819409.646465015,827711.552093834,830636.466679503,846755.855815008,809583.926565623,829802.959660895,860787.873077165,825170.92913603,842676.915744029,826897.517162886,824852.924845211,811894.513281252,818418.667120415,825064.811512316,846696.859973614,829346.487377227,852638.215649934,824214.938734511,845000.394555153,835290.925937457,844340.998897485,832745.714345511,844091.751940326,843211.068467034,837131.22351037,815019.281108179,846119.82635396,824904.146468686,840262.787689553,844514.080646357,831562.342774724,823441.404290996,835964.653746536,853983.151812487,831972.365048871,818638.261984897,828332.171716162,823142.211303858,830127.253140724,819803.309250151,826972.680031969,851532.259838053,832847.888039766,831378.334174096,825964.112150068,821372.116405786,835192.432726598,821688.576548502,838060.603103113,845870.695762345,846126.161866633,837337.882147195,804356.557060758,830681.211456766,833837.405775989,826573.56888096,839057.166750411,835817.065845799,846331.320193705,835280.487304665,834776.209861352,838198.249954287,811924.265210565,823736.809337309
"errorsum",818378.908176292,836082.722633102,826728.431362169,845029.865239279,818322.820297117,801278.241104279,838215.048806093,840565.666095909,831584.220309152,857062.926434275,845655.96307544,823871.752958321,820632.588904764,835312.332782852,853585.269625188,852130.787603998,821156.299471936,834275.4050044,839901.030051267,840033.875012845,821602.105863935,845123.822868347,837604.160353087,839612.827803683,833926.705184499,813982.700200072,842741.965674392,834724.294414577,842146.228003079,839043.416905628,833444.887352834,844898.508279079,847571.996938766,815683.496500327,835212.127896498,802205.310454061,827829.790650285,845413.278536676,836730.608081141,836412.643589181,837040.840282304,821157.969870851,830930.288712501,831205.537540644,841080.012177273,819262.0747377,797601.860533315,844062.81691379,851890.42256134,839034.4454236,826847.604718159,847402.541476447,836778.285770896,841501.93579947,822851.730449988,831871.66946469,834350.177577901,805904.344144457,826330.145457605,831138.105909408,855828.825137335,827255.752985957,837051.161790568,831154.702231671,829589.247155605,833814.390718538,841644.935413677,842358.627911656,828772.775819582,830531.24118974,858010.179538418,833395.674399809,810260.315443359,828751.065607806,817028.268883548,849436.763111743,841498.167341508,823096.519047186,836934.469545546,833548.398369063,837402.330180311,858696.863041692,834608.654120971,838090.863650164,834559.14240454,837224.28730425,818507.453388892,823390.475048381,857304.909258981,835967.758195822,838612.170407456,850609.514261424,815273.690776244,841734.738073877,836832.254346068,802703.170445528,840465.598888285,814442.048571554,829293.080072446,835214.027753672
"errorsum",824414.227432976,853183.628670388,820313.330282529,842206.20657906,847941.000458399,835318.978003895,837705.718251066,846202.250796097,815426.240621353,825816.345901584,820637.006623468,850918.469584708,826547.517989624,829418.47424047,855313.396027031,838167.347991607,862710.346341941,838138.620568354,835099.538952119,847792.34672495,839987.766176575,840298.351554232,821657.457596317,826392.275209908,838493.417821597,846068.454735631,848210.454399192,806912.555687025,839003.215129958,819937.481349216,846548.660838486,811539.470873804,814635.87740803,837491.016752031,827781.30375818,839347.108611056,832701.581698745,831422.73484907,848276.31613841,839248.391452184,835457.632962199,852465.404585896,834664.425655044,837234.445754793,809673.657987724,817789.344405211,837372.555483492,813535.331778016,826290.846011235,833057.398258482,846196.41100667,821130.363345415,825185.658946078,837239.503497575,827395.004329755,854654.600289211,828033.151391372,822866.818681855,825976.08000737,831424.076863108,825745.820428291,822497.924796363,834288.663609348,847585.396752645,842534.076759562,847687.070337628,852787.168534709,839055.12283699,841949.851630529,835311.034645542,841723.164819461,846361.640285349,831563.322389066,838575.653153416,810353.816941731,832422.652501051,857208.43419776,842378.314313599,847771.698896737,834986.557887111,821020.587470344,828018.855441366,825158.248922597,832047.118827632,816523.816458272,842788.263088133,834368.475159943,854619.489523952,821161.340457688,823577.881496062,830630.543162776,831136.478736666,833998.886487224,813880.553662664,825071.096864609,812564.586663454,836399.131074799,823458.315031836,846664.880315567,828312.287261798
"errorsum",832954.55988812,831298.61985503,831403.784222399,834335.551426255,827776.208908733,844128.693498874,806065.700084423,838594.436735543,839039.743663742,825572.89099076,842883.11680724,831960.002250797,832624.966625332,824665.534624912,839166.966556877,815077.17171476,832635.463321666,831569.609044352,817174.243766766,814293.921085184,824201.072403638,806208.377411688,833343.515402794,830469.654166388,835218.727385976,837466.803769971,832157.068329382,803852.581904885,842021.640938159,840646.271618283,854445.223817526,828886.43708161,830581.975784476,824475.873559091,834786.509688443,839987.494660152,820618.086499535,815833.003770199,838353.302190764,840502.74116418,836157.61086677,846229.008596601,818487.002923897,844615.125535081,833758.353229689,837412.209750954,839098.27865137,837762.077026194,852616.721561744,803447.288778058,831580.511647,831835.563441572,831289.351666651,816354.53751368,839999.260849239,806815.312596507,824116.40985295,865766.434180737,840313.038846053,831675.57800018,838594.460032195,833524.760158139,827916.650641382,843864.720000662,835162.608231517,821183.524121391,852515.316417409,822198.990365629,849396.903852126,838211.504956914,840191.225040576,825902.557144055,842219.765265118,821174.159037346,831655.938019364,837545.946779195,816804.486100249,837052.788988327,833892.764716308,827382.726584596,824273.025984356,836251.471955311,836091.332507719,838870.590932244,833760.918630676,838571.542151199,829802.970938371,830115.022091091,837727.022381364,826084.452892759,857937.666105438,828201.142465472,833952.552086097,807399.331430985,835999.236811411,814836.331464069,826379.998578778,816706.627086627,840094.066701137,814692.70590451
"errorsum",851087.907242091,818138.69786191,841618.672547247,841823.973820417,826324.088579073,841065.540259965,831324.054766578,822309.263386156,813618.571268961,851556.675775855,832947.139025619,812843.266354116,827577.247502272,827326.683953413,853125.580784363,831149.491780705,831127.102144962,833869.103191399,818476.949037486,840320.685681914,847263.463582426,826882.417710204,831990.664828717,816646.195716857,841612.003447473,823259.949400606,858121.448502021,815814.270302237,833382.215661984,849955.266034667,855641.87351601,834993.583746933,829323.191628149,831137.127794349,832529.659593893,845643.875585449,832438.36802129,831596.341305893,811397.311179569,852830.472923346,839875.12272418,834178.574741169,828566.627378798,832987.036086382,830003.583771987,832598.586627797,828811.72146427,835726.811740006,824940.175212595,858127.810897068,840037.488123235,825753.805269002,822898.593836549,834886.14474893,818228.070333426,844503.882974933,857306.245023528,832894.565765456,825194.79531841,832124.066925771,829935.24707812,844879.665597346,843458.114016635,846879.733519048,812858.33934647,826503.773115286,814885.842523654,839012.13925241,844847.3917549,843088.951255289,816122.621293692,843436.413962483,842082.71743049,825270.535017098,831345.612665196,829418.250924988,819209.160993759,840406.84496453,833609.270784205,815222.586486473,835555.952470529,831566.222103967,828175.915159147,827471.31103697,829619.84443281,822894.378049153,839384.753043329,834898.738773595,833135.496433245,848016.381358153,870947.480748192,828152.376364515,838443.395750439,832706.27649509,856805.882991999,837494.696115239,843538.328969815,845237.564370543,824542.105123475,797923.614634956
"errorsum",838563.696751017,836280.552272753,828996.060194311,831388.492865762,850863.895393429,833037.450145614,839938.950836072,844529.169085146,819499.789559616,827956.328043555,817818.121564661,821151.881500356,832321.692522001,831617.880292828,834504.156005935,824300.100585643,821413.316134257,827874.670032199,834601.784905384,822182.125448604,804014.658255277,837641.984431661,832815.71879701,836759.851432003,822356.917256835,838509.948481384,827486.271415695,822336.433968642,827922.070793512,811861.840479623,834019.564735568,850321.494782732,840492.572609114,849691.509900747,828436.853697476,827315.78334633,830339.8978074,839802.887919076,833647.384874038,839890.955672485,845570.1333985,840249.892295031,844520.037852777,832389.499596665,838519.156736525,841844.938609056,831487.718076651,853025.756519409,830014.374548085,838070.651137576,844538.689051377,843313.129385972,835943.051441677,830450.408878907,823180.092264517,828151.141418977,822628.749194214,820430.974708865,834863.637025912,830559.963397945,828785.691110351,830694.192820077,832935.510865114,840599.219148806,848467.613690093,851902.820343651,814079.894332171,854457.785912265,833562.714028477,828501.706057855,817453.435369121,815723.80293001,842027.46085369,834366.430836289,840352.080770158,823896.467107511,850625.07512638,836335.584298286,849844.762611641,839881.250287763,825971.428677954,847088.430493068,839798.444511091,849030.047437472,839627.558744727,826232.349329038,824000.904973965,821829.128686612,831873.329506563,828565.106332065,848410.72519271,820142.034155597,832890.104209269,819985.521712645,812952.900781923,828945.716141953,841702.186360862,843180.17581293,839782.801806974,831282.691147045
"errorsum",828901.687681814,828862.419376429,834878.668495945,835483.925541538,834209.718039716,858624.785174106,825828.585269629,837098.703682906,815508.747419915,807440.925580307,839149.525910443,814270.076539869,817540.649160136,827100.427635127,837739.363147745,835594.269134577,829751.022152923,838744.392976326,839166.948587717,833302.527843135,830964.630122434,836977.746856088,842933.946968111,839150.92709422,825108.995910294,834552.774117055,828232.276795314,838076.791643061,846647.617069421,842112.532049782,822418.145313606,844459.14656346,812869.936838985,819750.082220506,809159.514845198,850470.117460969,830950.72022151,834673.977930954,832176.86055335,818677.042093121,822494.546059101,826816.974472117,820321.784705961,817582.044248989,851587.592670252,831501.737189236,844662.101886509,826799.614096461,843573.993129843,809752.184609864,821538.332894774,829416.413802842,819629.68270888,835175.977557583,827706.401412066,843965.1485114,830533.24822656,826494.696707243,837428.425997536,827993.657682354,824808.158455773,818488.236477692,836110.074175485,848065.528426205,838979.770010758,836815.143965139,839918.71876439,807151.740422995,819369.803016045,828353.781602682,839453.158291934,843465.737885154,799529.037898729,836372.451547522,839113.498124131,825211.088292457,840134.021733994,826296.667077591,825241.433678008,825694.195525237,825976.798245202,803825.052588256,823608.190274178,843104.558787013,846036.47072785,836140.495456415,813380.295239345,826899.226931839,841056.811121308,832060.532009757,824054.222948028,834454.403541692,844419.024670011,841348.397041185,845491.843105342,822978.245777671,837834.515844997,841976.658007304,846618.53753299,822361.458106867
"errorsum",846391.857457058,851391.078528566,847659.640764134,839372.403165792,826874.59109994,834436.653665658,825157.40106085,849533.952638341,826428.299800904,844960.822462004,839454.18837825,830351.760333052,847778.04683061,839574.811993196,831815.707407885,824901.712735224,834219.298531904,807368.912100348,831484.091346028,821980.848508702,835768.331193867,857164.126056577,823990.494632862,824291.134772517,815489.697926717,809631.187851413,848459.262952289,838125.525941227,840443.576801373,833804.076844336,806114.996186015,868978.706000537,834631.291045425,823637.565199619,830326.960421633,830681.684445126,853505.165119668,846221.019116761,829650.577994453,847393.271163713,822679.891933294,811505.873502733,822821.791969191,820175.812318443,839685.374608846,832276.767201788,825927.845504157,809117.8954222,849931.785656444,818846.917817116,832204.132141627,819985.45366536,834808.021096629,819610.062446135,820534.463289317,833713.14367732,829590.931712795,829414.055668012,833529.694199702,814887.631275985,842672.230249233,825462.398133913,836625.542018326,820323.399319401,813110.964215371,829645.769323013,854184.491815933,803599.427462239,842400.059855894,834174.32825386,838473.731728856,840382.611269986,818240.894596196,825151.818358933,833809.821304424,831123.369643784,822392.736214111,836314.756227613,822568.296111605,828800.91785038,836945.963434365,827178.476524719,834606.450642006,822079.548113827,835091.712268394,821076.405588066,836844.593932345,829634.024413747,828553.448769947,837248.810375455,846440.752636757,849224.187806899,852978.187497662,810991.079834586,839372.808292593,841047.129576674,834833.153096786,823424.403842788,820598.331364719,830970.103530719
"errorsum",823293.706866752,846795.552277831,840148.930323735,828346.785987087,839521.27324828,854486.584207962,812174.550542871,837500.004430275,833286.960147128,839588.189779581,826074.603387983,837214.581234022,831696.974909603,818505.458495695,832551.844491847,845527.614013069,850572.748548483,847404.421585044,820753.221319529,821963.800421382,830514.457139815,837446.010682235,845611.481617981,850450.139066192,804480.575273389,842201.407601106,821976.957902918,842296.778608245,791094.060471493,822162.154580036,852055.713447929,839328.092340885,825833.953479104,819482.161904776,848335.692451884,812095.508231431,825709.142439611,843760.786912926,820515.682188632,850746.04818089,817690.36025467,827812.913811464,821459.106127273,850415.232955236,822196.289570266,831501.540795726,841923.528221425,827918.817416968,820109.611510715,840392.769960152,837845.55294997,822032.341538131,846002.380926379,826090.551858548,831768.874112241,840169.280788829,831337.501894841,823368.990176643,820244.754547991,803660.943491029,823499.782907902,813788.525688251,833233.225281654,847985.75056327,828246.653282893,844078.803047362,840168.174502498,833255.892544154,848159.339478297,838260.456933154,827088.28907087,819688.741386968,833776.348241725,833112.354388916,817099.38513684,835621.239398745,827472.32619924,841003.983245272,832588.496953726,826333.698594285,823858.268083806,831606.452048152,830539.418676953,818973.879610333,833547.116036134,853238.082781802,831734.721606544,829751.636980299,829836.607839581,826044.615090252,840489.023076089,814834.597368196,850106.245965048,828701.661833337,810069.335650024,827222.574341177,806301.151764946,836367.201647137,847691.694440808,814529.476473597
