"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",93876.8057088526,14314.4061198397,14175.4328215602,14103.3011371557,14102.4448594161,14072.0899566626,14023.9596319841,13937.5829074287,13877.1228900659,13766.9913360592,13659.269735181,13560.529061941,13453.3038653682,13359.0314215786,13271.0171216506,13202.4387355131,13114.8553978644,13024.7069653369,12938.1775152098,12845.6399171501,12744.3009690029,12632.9444444224,12500.8360110481,12359.8295799821,12208.4831202994,12057.3418992697,11898.3568570466,11693.1747360754,11491.5963376422,11342.5206088253,11169.3702248232,11022.0142421774,10889.2235322296,10762.3528515373,10642.0907420603,10530.5901352583,10436.0654666634,10348.3827528273,10283.0766409022,10242.0838541755,10223.2786027894,10211.668010871,10206.1756683539,10158.345871875,10148.4383980128,10205.1396793744,10339.3878293856,10563.5667994855,10870.7043548161,11205.3550232674,11655.3877206991,12118.4342140957,12592.8742094941,13206.4024398194,13935.9775632533,14719.6678314312,15657.4830906148,16775.6238858055,18106.1409915274,19707.9110289986,21343.2033588424,23267.9400724394,25533.5585813972,28040.2176920394,30559.9505618291,33505.274690053,36589.778341138,39924.9662132524,42407.875662351,44533.3119423348,46230.2452591204,47841.6502060459,49608.9733190306,51860.6277317597,54477.2278856787,57370.2802569281,60860.7742523194,65368.0790780367,71159.4934158158,76940.0569703079,82318.1715526071,88508.7650291088,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526,93876.8057088526
"errorsum",82266.130130726,23566.4016418378,23451.1717721994,23335.0428592853,23238.3200705235,23221.7738259433,23205.5348339513,23199.4187128594,23226.8997560359,23253.1113120124,23248.5287081235,23263.1080824508,23271.3693408936,23254.6355688831,23232.6572252686,23215.333027421,23179.1228687647,23126.2551039759,23066.3261630285,23003.279307824,22932.7014605212,22856.0392293779,22764.8189555666,22676.4985625103,22588.0119484104,22529.7784282269,22468.9598593752,22404.8378682498,22339.4039093611,22285.9403644151,22215.5261111294,22117.2949231946,22025.3070581034,21931.1180781498,21831.9713936211,21713.4786777475,21538.8283946086,21346.6451693434,21152.8590280068,20958.020236306,20700.7444646352,20353.7551344235,20078.1730268632,19789.9716915954,19415.1057390538,19122.4870356172,18910.2315108262,18710.3763038065,18519.1050082087,18364.6580738692,18267.5829149651,18187.5609886905,17972.698861788,17775.0629399354,17611.0303358023,17431.029345212,17123.3678294031,16918.2788220349,16813.6210831154,17106.1651195411,17546.5049256422,18133.2838219737,18880.3235267168,19805.1124231867,20968.1226898476,22443.1761676142,24292.5055615717,26411.0803405912,28580.7868946819,31117.3323646217,34177.2137759215,37879.6974222039,41279.9099387665,45043.3805083721,49616.4843334516,54713.7561268201,59543.2381372136,63278.7973265,66368.8203997754,69554.6466016952,72310.1629404706,75751.9006311516,79941.5974416371,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726,82266.130130726
"errorsum",91928.0478828788,29614.6941144704,29540.9776990895,29528.1072676773,28910.9698850552,28428.8224440916,28237.7161859375,28161.5974324098,28145.8942494204,28113.7146805704,28068.0356411901,27515.9360928382,26948.6048727223,26437.3155230387,26103.1836953716,25574.4177814317,25150.5590071525,24795.2929902312,24523.660912175,24297.9277014442,24095.003095118,23963.3932594844,23874.5637323873,23833.7033545015,23823.4301705576,23907.5663858456,23912.9483161673,23891.1080193551,23879.546638466,23883.0452756963,23895.8255667381,23923.3608408356,23918.9336946767,23861.9716548537,23810.9930871978,23777.1525482749,23735.8393992326,23691.277803016,23685.1670975874,23690.0319161407,23668.2337632587,23633.9505904075,23558.6849257479,23493.2780627647,23448.7760696967,23402.9678894051,22993.3242989706,23055.282058154,23199.164116667,23400.0130060331,23658.6601514228,23970.7554371949,24348.079862611,24605.6566234983,25215.2879545509,25885.5103154148,26289.019991038,26668.1882687973,27077.9349969799,27771.033862596,28347.9012877321,28934.6136353299,29822.3288712733,30942.9223564406,32185.8116535693,33480.0437958777,34416.8656837168,35810.9762392481,37966.7764282625,40576.2657319828,43410.6287217766,46808.0021169151,51219.7786632626,56120.2034456697,61534.5161091973,67328.9216533575,73099.5433635774,78955.7411132151,82314.3119539252,84254.862715516,86696.7852191405,88847.2814840834,90814.6688309157,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788,91928.0478828788
"errorsum",109530.098150303,34625.1539577231,33615.3641842877,32637.4122362639,25412.9395723343,25229.5032379151,25184.2893533005,25078.5228913357,24794.4937564878,24001.4296992259,22828.4233263937,21767.465798563,20711.8093760762,20534.5605001383,20434.4289746331,19960.4341630458,18047.5872047568,17328.0836430951,16879.6913686752,16557.6317947045,16327.1683552179,16183.9928241687,16159.0354200706,16137.3341446429,16047.6013363582,16061.0774115846,16009.2921593124,15992.5760959016,16022.1442241595,16024.9295502582,16014.9492723517,15981.5671354147,15951.4938224753,15948.7283136868,15958.4160094116,15986.7376145733,16031.9332575657,16113.2044584366,16224.9909560108,16172.3804619335,16326.2102316015,16512.4847562737,16746.4697584457,17113.913503367,17441.8814226785,17816.9192657567,18046.8150074159,18267.7416818383,18511.2970068742,18709.402366829,18987.5681151129,19352.4608341173,19821.4326030907,20426.0108471332,21215.3348369847,22167.9590323103,23315.4124875875,24618.7316109112,26090.25899074,27738.7156267762,29655.003710133,31801.0913384294,33979.2493185467,36172.7531066256,38636.2850704037,41520.9617261372,44923.712969507,48865.6302326238,53418.3558229417,57847.885110943,62641.2942021464,67263.2821377905,72174.3664420233,77656.712175571,83466.4354527123,88804.3790913289,91879.3275698433,94733.5748440958,97548.7954496356,98999.5149228978,100825.013697187,103100.987968876,105792.190238061,108652.918657972,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303,109530.098150303
"errorsum",115380.850916838,36965.3130133598,36108.0548782583,34701.9540656887,34110.7587389406,33662.6336641615,32844.2530413407,32767.0166673558,32632.9879564946,32493.9101975198,32238.0235770026,32007.6185586412,31803.5678183701,31622.3040698637,31455.5101490538,31307.0970888756,31132.5135261702,30914.0327716779,30730.0933932122,30534.3162276571,30351.6890690678,30149.7245863791,30026.3723425407,30019.0140338961,29782.119205845,29419.7138296204,29128.1963321472,28778.4871663936,28447.0623661165,27854.3299007301,27252.1662261451,26667.8654708821,26134.831711526,25590.6381481502,24976.0741448524,24356.9345925976,23732.1409156976,23103.5993863417,22495.6314741573,21909.8965416234,21325.2776506324,20794.9147739134,20431.8054011967,20062.2775000382,19751.7218964111,19457.1065203127,18993.9460971092,18604.9136782518,18282.2784824055,18030.6634481299,17851.7438756833,17733.6752257138,17693.7121212995,17797.4480505474,17948.200377101,18163.423759165,18580.577332458,19176.1748589365,19899.058155945,20774.5373502147,21798.4819531377,23016.8071214209,24478.9941065377,26247.7288825786,28477.1810537851,30811.4477109993,33480.0119882726,36593.3404803812,40275.9437579299,45222.7844339662,51005.3949373398,56642.5540790133,61770.4194935456,67277.2166412668,73332.7097379157,80274.8015893022,88211.4164835333,96939.3469636582,103697.51986524,107530.208964857,111168.046498289,114157.254792128,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838,115380.850916838
"errorsum",156620.497922092,34864.5047413623,33655.4262335288,33288.5574466186,33222.6201873753,33148.4863932529,33183.6661958074,33121.3550283604,33105.9790934276,33040.3173429573,32988.4382662384,32995.3349889635,33083.0903633728,33167.676437671,33260.2123678223,33344.8917134937,33480.7276444629,33629.8934938503,34251.4824179355,34156.3147707224,33948.4282838947,33713.8096037281,33502.5209603844,33334.8722243694,33194.0864937718,33315.9948380822,33451.3860473519,33544.4808481429,33643.7607541088,33779.6420090826,33685.1741763571,33653.1187489962,33596.0520302653,33777.9011989344,34084.007969396,34411.8391135523,34714.8980842584,35044.9956661657,35419.96731564,35552.4094006084,35753.995678098,35963.8571975468,36307.3894341489,36363.0884514509,36290.8885584263,36322.8044071437,36452.4984589,36733.539472817,37124.4801412494,37714.7725567558,38521.4038845099,39422.8085517371,40461.3329767419,41469.5574603,42788.4264891981,44503.5640353808,46097.2682782531,48024.7346747151,50334.9477588997,52780.8444245764,54837.9682075279,57038.653972219,59508.4648748199,62682.356579463,66526.8933065778,70385.203277884,74396.0118695748,78817.1897597734,83974.2708037902,89255.4855754125,93996.9913835927,99269.9571357678,103272.20568471,107575.69302334,111845.312235805,116745.303661241,122215.425636178,129510.543673221,137532.614788665,146152.524447409,153617.464480629,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092,156620.497922092
"errorsum",93723.2972349426,24848.8761113517,24788.5254189679,23986.9549789531,22063.4007094722,21734.366826389,21640.2858607074,21172.8506785773,20763.2899843334,20725.8446858881,20680.6090148992,20608.0180453625,20525.9035588089,20308.3507863521,20100.084387991,19916.4682952838,19736.7818208155,19554.3196691614,19366.5772074555,19193.1831597535,18945.6865989359,18742.4444299219,18528.2517889295,18354.7193961591,18202.0847773886,18006.0955135044,17783.9117221003,17555.3646507367,17444.1783512104,17375.815892679,17271.4191069307,17309.7529053168,17269.4817366969,17177.6036006204,17065.133914139,16907.9131098942,16747.4434221204,16543.5826958331,16292.1938653234,16102.1587174686,15950.4933672566,15894.7669291098,15820.1773120686,15967.1418827623,16134.4029895995,16323.3549197281,16537.0658528299,16771.9054196422,17056.5932390838,17473.3934438812,18030.7735915957,18638.3879625743,19285.0516845403,20011.5482155269,20680.0246282337,21175.6525226043,21663.6623805806,22224.3411939229,22897.7930756219,23732.0211705093,24738.4939694703,25908.8731488011,27319.0659134032,28793.7466087568,30757.9047608278,33063.779056202,35792.2972014951,38957.1732878046,41625.5298283234,44000.8456182064,46737.2026535183,49236.8722004209,52146.3452572235,55759.5032288715,60127.4473369572,64382.6861637633,68178.7040144545,72666.4511895941,77610.1599686634,81430.2249784821,85908.6510326955,90010.2281386184,92464.0390544904,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426,93723.2972349426
"errorsum",99575.9748178968,30211.5641324922,30358.7044689126,30347.9091181223,30642.6333547224,30950.3621314678,31258.4363400769,33062.0682835669,33350.623990247,33646.3892488944,33624.4508119079,33739.3226263969,33956.5900064365,34064.544104032,34160.2254274164,34382.5710693412,34534.9350530333,34587.5187314251,34632.0331440032,34696.390959373,34744.7968132988,34798.1059298585,34844.9983657277,34886.4337435514,34924.0035709297,34943.9105111787,34809.3332660544,34815.2971379591,34825.7761994288,34825.8423992314,34835.8113586454,34856.7859201497,34811.8698737666,34769.9129026559,34455.7022313346,34255.909606126,33977.0135680227,33740.2418378365,33498.8720437639,33296.7799341231,33071.8579398654,32810.1293309025,32441.151820211,32121.3801133717,31864.2155447305,31673.0950460238,31566.5110199165,31516.9504882894,31544.0623481426,31673.0346607903,31861.1074923357,32195.0576418679,32560.1472974423,32957.8887739581,33247.8827982719,33423.8675508518,33567.624633889,33765.8412000011,34047.905788891,34548.186532883,35214.7757950705,36013.3155612114,36031.4967508548,36210.412720508,36680.8480167443,37374.3677795688,38341.9174450564,39244.4854542672,40492.1491107479,42445.6513368299,44314.6741783425,46483.0980776113,49162.2830997889,52309.9883116395,56173.859908519,60730.0290188451,66273.3841999616,72878.6927900214,80440.9371713366,88184.2780455731,92280.5719500111,95328.998275772,97997.4040397879,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968,99575.9748178968
"errorsum",117789.111883358,32999.5556092454,32661.4666457461,32335.079615465,32026.1227714282,31282.825327067,30838.9385557308,29946.3115641572,29296.8293171025,28465.6404137489,27978.1247036304,27616.5300596499,27351.0152819701,27307.2104846886,27251.977331033,27201.6623671801,27116.8456639095,26995.3258902064,26845.5135423764,26692.9892736102,26535.1653116554,26372.1192377892,26205.3008998986,26039.9885473091,25875.8620798709,25756.379746225,25612.1680448222,25430.2863157682,25262.2536278169,25122.9150017715,24917.7510053757,24687.189282305,24449.9848026986,24320.1971246257,24214.4654717221,24172.849146424,24124.5562590845,24011.4211343156,23687.6117871259,23282.5176227463,22925.2250674151,22597.3722797924,22292.5907915362,22008.3484340096,21859.2348415296,21808.3344733986,21779.6034104614,21952.8044805678,22235.1432735929,22632.067901592,23038.143694473,23319.4472886452,23759.5390158238,24397.2273237457,25195.0053595378,25676.8298805391,25938.3570403709,26486.9527299555,27195.8714944916,28148.7615347769,29301.5657801722,30686.5394181209,32351.7971346312,34366.2646306667,36464.6645843279,38726.8532598623,41145.3055500738,43992.7300294377,47272.5415698968,51341.8002850952,56257.9624356265,61666.8283561149,67676.30060319,72702.3327741858,78440.7898156999,84754.2897567783,91694.0070358878,99361.3709859798,105425.459769682,110631.224058252,116041.275025923,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358,117789.111883358
"errorsum",131103.490308436,21838.0209417829,21553.9411154277,21349.2159972477,21125.2989313859,20674.1100454892,20659.6799028136,20569.300625606,20550.4267142356,20525.4300626902,20497.4292148181,20470.76383567,20446.5756824193,20422.7896622098,20396.1501805882,20372.9222980978,20345.8356655956,20311.3176928834,20279.3351916674,20309.6662262089,20349.4286992534,20383.0552408946,20313.4540578917,20331.2081990882,20338.3122114243,20324.7166802252,20306.0899883959,20229.5840691595,20149.4053524006,20027.8784097239,19999.3207957913,19974.8456860931,19952.7353709734,19935.8128265988,19900.7078175661,19872.8116374255,19822.9063926825,19790.7239522595,19770.8270465285,19904.7225393722,20024.4804854123,20150.948204518,20210.701864276,20278.6081306392,20376.5477962497,20507.0029253821,20667.9658500196,20887.6455616366,21179.330658255,21620.4613758579,22057.4426723123,22598.5389254934,23249.1881618989,24056.3660189412,25043.7088718386,26273.4552590997,27704.9439761347,29346.6508371817,31317.1440560113,33370.0224074455,34934.7927274523,36775.1007292625,38932.255822858,41538.5947735689,44421.6287965894,47679.2272586669,51520.304543253,55840.6328970413,60401.8111945672,65773.7573962086,71919.2030886588,77900.0735098278,82076.8839729261,86204.9430271623,90963.2856521199,95888.9260527749,101118.407085786,107206.868331105,113066.371115808,118015.439849468,121857.126842741,125744.736341757,128532.842861709,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436,131103.490308436
