"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",100502.112537715,90803.9386288343,92217.9795205563,83559.6142439541,97875.0569547394,105436.073612049,101819.485695804,108827.416143459,104734.39928495,88157.8138484731,105467.50947951,107026.856657293,97939.6200041221,104786.769357556,90593.3147504788,96179.9732545331,86147.8786778146,97243.6519050133,100200.277219509,114955.796379071,97387.0918179857,98497.8876839617,83832.2046605199,96833.0941069721,96562.4115573407,103868.184302615,106613.009229622,112507.324581242,96904.6669441856,109038.088104426,88373.55490528,102770.892114663,97949.7396781521,97759.6197586163,97482.2090708761,105920.851709753,124933.398341632,106280.581630708,114947.634096673,100243.052562374,101573.846972949,92178.4916715806,95690.0047926737,102722.236404962,95500.206291274,96345.1017347524,89039.470996261,91654.7064822743,100581.993617142,92122.3391034321,107420.613017694,91291.0167629916,96879.8866637744,83705.2916995696,106506.574926946,100951.142198523,111623.17435096,86427.0144925973,113700.475299632,92927.0825129843,86499.0401795451,100490.208350617,100074.180118266,98387.2746666565,92343.4419117782,94494.7890676956,90999.7775327996,97892.3345494804,103301.513361875,98250.6964424708,102056.9018454,113966.414418638,94957.3335402545,108939.30025709,101627.917047053,86683.7383250486,113147.419891827,93486.8470106404,104679.050685248,95216.720784156,104716.277143698,84896.0288574419,101756.87839097,96394.6274821284,81424.0212025362,95967.6531879959,96762.7680209989,103898.816203563,123651.262762086,102595.629750114,93263.0063026449,96422.0029707894,97455.0385709143,110301.451618301,83848.9530557542,113379.36949663,96042.7496275817,80969.5105379787,116514.072210109,99504.0204016258
"errorsum",101792.029214676,96647.9175000857,95457.7435250354,101500.466844262,82883.3417382045,107261.337125384,119909.565621794,104798.723619179,109440.949138408,91973.6395282409,100556.40403992,92755.091523743,117812.740154524,92634.2603589989,92186.5826913924,93052.0486892297,101105.531268158,99731.4123076175,85856.928608281,100041.522516534,106961.098257753,90310.06280146,85583.4292672564,84817.8164029372,107205.169210192,88341.1288347358,104143.34584985,94656.1356527778,108405.987697883,96393.7227702189,85030.3623066283,98509.786624699,101051.367463248,103788.078938636,88403.6444617308,105120.832921317,93446.4636098751,85595.473390142,100349.199784917,87496.5070083718,95386.5178384094,98774.3087959116,91448.5960351984,112319.435683225,99060.1838755886,96616.9248519399,111084.210271615,97895.9027918859,91393.0711054744,109759.508916363,86270.8014180781,99362.2993140944,87650.9689933541,99018.6783301324,99448.8438001395,110211.690740979,92962.56544344,93703.7547079623,97498.6364435502,100995.928432311,96006.6666420192,92810.6424127376,90916.1951509601,104472.932693101,117074.204188727,95411.2430156897,101935.624115374,101565.689135031,111576.018788078,112824.275377276,104792.351600333,96796.6081643679,95348.1665030089,93747.3580404895,84112.1319476128,111700.394435778,97451.8568854571,101988.684432691,105423.662382604,114342.219583192,94298.1159387524,101016.776921817,97928.5684642182,101401.790825444,106829.321731662,92106.5946507053,92118.0135738683,99196.9404917236,112637.300676202,90853.4216143122,101079.333536038,103260.553314228,110207.28809644,100525.588754342,93745.0834296212,102462.783789943,93183.1559462295,103678.208766063,107026.41238517,111419.50949299
"errorsum",90998.6019437124,108808.306680211,114305.051796179,108751.489851948,96121.0041261499,106616.939724843,96882.0766354025,100656.569723501,73742.733460758,109047.375697565,97361.4341274799,87437.5781795341,108377.545030332,97867.1221421214,95981.6723116557,100470.769879758,106461.605319474,97554.1024502457,104607.526899583,98132.438199708,91159.339592267,100915.156296399,96878.899456335,86233.4201632846,98769.1018268823,95926.5197525491,97761.3286455672,101683.637053417,102935.252431898,103725.336806661,88649.9559312188,100874.490361257,104880.137451801,91607.1146966205,107560.064824546,100930.559177821,93961.4083623283,101435.035651589,101009.468276784,94269.1413764623,97192.6935856902,105791.08533599,117059.269895818,105792.217625826,105411.499590961,96326.5253330049,94196.016200354,104692.072796708,90943.7147582975,94335.3028698338,97028.7419372772,98650.4046206391,98784.5455575747,84178.6582001587,104838.723129039,94858.364393577,95946.5108868654,97954.1566219174,112916.714836294,107631.182839011,98461.9301695863,100319.290501845,92413.8921675632,118092.979714178,103811.321489971,91965.1598423258,108373.065827032,104973.796725162,89646.5063883127,102165.26712991,102861.9209454,103839.260312631,80908.7968315343,93579.8841056105,82418.3283146459,87378.3932159675,124533.003471322,93402.7902698921,95254.0396106824,102084.282950743,93666.4870525737,90861.4393447758,100949.225791651,107898.859754478,130139.184140453,101131.31985739,94882.4618447924,100588.169920248,92333.5965302039,92600.6871271657,100635.730442372,92178.8558797816,98837.4108575517,94743.4806392553,110154.74078144,88054.1852950428,118270.181256047,101619.952711273,110629.958337105,100967.762178547
"errorsum",100048.867387415,87641.4313974706,93081.3843866914,91807.7941918916,112437.221880853,107484.397092842,100316.931472907,107435.34223069,105074.527516596,129008.333923593,93090.9466500159,106869.597739327,113168.465574718,100603.979180989,100454.761478663,96076.8572571337,97296.7594822381,101476.820279199,94490.202013946,104816.555651855,104044.389743057,101782.999222773,101285.310487401,85779.2980148683,98819.0332922811,94856.3349429874,92980.7121938302,111038.269150465,102308.485796228,122119.179197159,93525.9308130706,98608.2229672941,80854.0509093412,103721.935008549,113790.075389296,92668.2500240226,97943.3732423259,102799.85315946,93108.5839147389,97132.1313515977,85352.4843741879,101498.868468831,92938.3424774891,101070.563265263,97774.086541436,97403.1194518732,109114.309992158,97037.4912163324,97440.976986607,94432.7701427313,95285.7769686894,92273.3507511878,116685.385697133,94047.2891142996,99973.1129038714,114791.890598501,94542.6810841565,88091.3991501913,94554.2820601998,87341.6570773458,86391.38222533,85041.8176111168,95687.0305939771,109721.299850425,95860.5091964316,103432.156377835,99710.5419113355,95936.6959193825,96152.8038813735,84094.6518651469,112932.331611917,102350.1778774,92312.5849130374,109138.929959595,103525.853492498,92559.3086565358,94220.7669102619,92651.9039569574,96792.6554575179,84314.9921905183,106853.605585113,110869.621519051,102482.926404171,107753.877049738,86099.8054828272,111009.026123585,90743.5631112172,94054.5076735466,108889.492893292,91511.5983303252,79773.4970002178,96477.2143737667,94701.7627988488,101990.178473171,99229.9753506247,113652.828958273,108347.444668791,83293.5554891627,115898.278828855,92640.3044322954
"errorsum",86615.2549035877,85244.9365047512,90779.822039914,105310.745852315,97338.7356623681,106026.624351187,107876.312018787,95824.05454872,93877.9988556712,107628.799226925,83595.9760100912,124844.835923927,90568.7889347785,117774.776676262,101806.260551599,101563.816430833,104798.407900845,102098.821444634,103225.180480018,102228.116958435,106951.232140711,100284.720785727,101730.596773512,91780.8544854365,107121.498965353,73087.4345066917,104036.825550484,98149.3601801302,83262.8706110185,94144.5253986564,99916.0949812176,103375.417467405,102774.204099027,89431.8304141994,90443.6027575842,121476.238557628,92566.1597586414,87425.7325708441,95913.3440560177,101148.254018314,93807.5653515918,80513.152389669,103551.783352055,100653.698790349,115579.46034278,119040.332150687,89332.5938438861,106178.871355002,94266.2955526712,111635.660516891,83960.5916851318,97428.9238971512,92799.6818628909,89680.9124214266,99344.7568745276,99658.9471304603,110542.402056016,113215.751950646,102357.715308265,103480.775531564,108457.037856799,99347.3610708945,111833.113611866,84199.2846752399,96657.7926183591,98459.3169033209,100139.593131643,93238.5371492855,110776.347665535,115837.12846962,91401.802657128,101526.030731196,110319.369966638,105056.91910868,93389.8266682944,100517.191144339,97807.4437142196,105883.533992649,103783.897565191,95593.7887789081,97959.8068814329,103028.781019235,97925.1908234024,132252.877156623,94207.3833866824,111598.932316023,93244.0205285593,98991.0501727748,97070.5866835615,95788.9759206699,113776.874275976,106021.030893884,97607.4850872203,115614.70525566,92051.5162700866,115770.515003669,110195.684473514,106317.930234949,109856.87850364,110084.947921659
"errorsum",95227.9207535539,98533.5212578045,115820.184780756,78034.6721787327,87819.6160158999,85687.251265164,89132.0753334224,102992.016128386,103524.846819724,101284.26434864,111015.546537059,114458.087726004,125542.366552356,109208.52711449,91286.2623794888,107731.862131595,107945.696885823,96769.3410223249,87261.5865217922,90997.7547296065,97940.2301134159,96976.7476421796,85896.4009547349,121401.149492874,105076.569392049,93322.2800666016,87356.9477553618,112429.430925557,104670.129642011,86858.7064345406,98556.7103455656,94438.8455390875,113033.346733092,106018.087282542,102031.344632069,104786.327071789,111030.697142428,101268.660487854,107879.323775984,103838.734163461,103595.890424843,88306.3005088924,115568.925127307,95351.3439141334,97142.8319563083,99751.0760251882,92408.8140078946,95022.0115197533,89066.9135521118,116083.092724949,105019.490112828,91471.3466462105,100761.310925437,99867.3461286058,123233.159648627,115248.184394447,99237.7600466517,93022.7965609593,85276.1185364973,91934.4213499061,91076.5250695185,113880.734665852,83788.0839507364,104076.981363459,103757.017070871,95487.0602904343,107516.172564727,106660.200236795,94935.588396199,107380.77755657,116366.78763888,84541.2772659962,98848.7879602695,96942.4078507489,96398.3543780346,97689.6167117184,96125.9270291551,94814.7486490364,104739.539686734,105867.493054367,96618.2256963854,105795.48328707,92904.0220515461,99486.087778999,96879.4987268989,100976.989665249,111902.39214618,94712.172414279,89807.3946119841,106735.654653949,127360.482383209,87839.3765982077,99937.9469076723,89238.2022743523,102661.792449336,86533.6013475399,92653.3568036746,90812.8590236455,92159.8056570774,90145.4464860664
"errorsum",89969.3081409896,101941.09042689,98676.1171385273,91138.2757414099,103259.391703255,115209.183262583,106711.936924327,104887.438775543,88611.1078681829,105748.302122961,97794.3005590243,108329.652646469,92498.2741764683,106481.11864186,97129.6946630757,131156.114330698,102578.125747211,105267.854600781,85464.7303399906,95983.6542373663,97615.7061921494,91504.4766755155,105462.942602132,106830.119216153,98847.8244658903,101835.412724244,92653.4078075234,90099.4502648033,88310.8748676585,100864.568303018,90247.2785372712,97247.653563685,127896.482276486,121363.134938802,103126.90265083,101299.212441738,87613.4310039309,108672.492458826,97167.9146870257,117393.098667655,94066.1909969076,83846.6980946643,97455.8656051203,114695.227786206,107761.923172129,101519.458437181,95202.0962714298,92672.3080877248,85828.9902313023,98809.4784610752,87785.4695284651,79981.3871399783,99012.2200745005,105663.394548281,106382.946975577,114475.18654667,90494.5629826991,95406.2668560967,101515.911187174,95850.3237186318,92285.2615604072,106803.535401601,97730.257126104,86036.6873881264,90993.4978633411,98816.5037188663,106858.1598975,98748.4541319772,106775.975099612,98508.9234407571,99924.9441199265,108910.122271757,103291.726003817,101209.971283053,112227.843428684,85009.6796910185,101476.000686923,98464.1668723283,91693.1030445628,109171.254084157,100292.122705028,111526.776640811,96365.6870026675,97407.9481978443,94103.2660230632,105068.377226869,118574.73551911,100650.727162402,102337.178932521,89253.5334951971,106797.120636766,99750.3302343159,96832.7419216825,106638.560972833,94377.0229455146,86669.4857186815,116132.960386136,105105.256149525,84769.3023211488,89633.8481749254
"errorsum",111210.729534096,99244.1556231011,89222.8048063875,100457.761332063,115519.019064917,101021.191953045,101212.109112887,87142.4411705234,103981.11570072,88047.5346864522,95129.9198175794,118090.826294628,114620.914416543,86753.430242804,92599.8872245773,94179.3344701267,92853.0680571291,102781.911535027,103317.236384712,98455.4376928328,95960.948712177,109194.618666195,90670.9863090119,109862.799907976,105010.02117049,101664.403284657,103607.782951099,101660.883349687,94773.6035914685,98702.0976145214,89478.2597493582,83952.4143733829,96711.1521321426,94294.386889233,96964.4837714246,107037.790268203,102946.040336701,107394.924601016,104790.523984634,104923.778177538,107400.146047663,94539.5919173698,121615.111849383,99041.7369856287,107815.069023486,99785.093372903,105018.272162833,93422.2493399911,113663.704753797,114631.250684071,100622.473879874,97284.3363135182,94810.6231088425,95950.4105290356,104826.35944552,102201.520436337,100704.582855125,102049.316648718,108555.271109702,101378.29012039,117376.215351957,86598.130148965,95400.553335572,91774.1948814188,97506.2708493639,108895.436867142,122253.3488042,106188.036985415,93531.5032656515,110596.812683735,100807.364311973,93955.4173257618,89833.6851844751,86593.6747923711,109948.746554193,112599.428200676,97920.3371376456,82297.0294565238,92396.9693086619,104435.897782899,97830.0788694049,102348.815630233,94437.9810778861,96428.0465569018,90458.0130696461,101879.702010088,78986.2006858208,93193.1788479365,102290.22748746,93366.7233093122,105444.934714504,92388.1299601595,99770.4627350718,91147.19283298,99795.1619532703,111678.219374415,90811.7954398531,87996.3537318025,94581.8044348181,116422.456475877
"errorsum",97656.4006232181,98739.0981083575,95853.580244993,105503.169522175,81748.0305743237,99714.3392859239,86237.6498903401,102252.873116764,107604.520374719,108944.282010165,98745.1801612654,102941.76861274,92091.2419428364,99161.7097939927,109891.11740339,106409.451819277,111342.861109398,100159.396752421,102201.720844194,104395.832558391,97473.8534425241,95392.3998316987,107122.8444034,101745.442586679,106232.630900178,129115.871409151,101802.688177447,88305.0127803967,97433.1589740212,111010.501640692,101007.556133377,100977.92538736,99658.9152329172,109348.593532159,110604.515429543,93227.50315291,95747.7587841651,102254.868714239,100809.882578717,104947.535537157,92105.1516264266,92815.6829840934,121635.056214955,91190.931342587,86757.2895417207,110349.869690956,113505.039027798,115330.964823558,99026.8000605827,102850.686793418,98031.2444486514,96375.7143867309,95550.856663135,110774.218260568,101009.371856129,85816.5793150382,98829.5347343264,96997.1869457669,104847.978531646,102898.17726749,94508.0354317838,86642.8325758924,107439.195100871,94546.2104262112,88941.1301989726,98427.8999862187,96959.722262907,100480.380457093,85594.762697243,80310.4890982274,108519.75203562,99507.870921406,98400.0376732291,114606.439631236,101135.000139001,95000.8936076657,83510.0265844303,105551.288673098,109853.757549678,84904.3686702298,95323.1682239014,91696.5824762148,77413.6312054894,104757.205861835,96718.8418171303,95578.8240543925,95797.2159028732,101247.052541698,96508.7688548594,93523.5480140933,95445.1876319535,117769.490629838,99748.829095866,99354.5702057991,83857.8112988809,107658.957949623,100987.293745922,92502.240242745,117917.711871965,90640.7309399141
"errorsum",91412.6729422401,104444.490519605,96329.3207433093,120388.647588026,105126.359370059,96388.0356107356,99944.6272610017,97248.4376683674,91579.4131206671,97916.7782891545,89438.864944433,103050.233477276,99969.1156373758,103524.311101417,97909.7170159185,110255.235887276,93585.2416810449,89290.4185969069,102388.948945099,99308.5668838446,106036.408191714,109898.811075378,101458.017873,101795.233038364,116207.173729759,105753.964887961,106568.367947914,115842.981989726,96005.2787406094,92810.8547759702,115875.503097698,91023.2884277576,98888.4965909645,106287.041001363,91144.3435847545,101978.7199769,106492.356180453,114540.97756705,96967.5157994796,102750.464587706,98397.3494906367,105631.541122364,109669.400515632,112295.487775849,101592.573482211,99496.8670071974,111152.434989597,101494.962223136,99713.1454674446,97917.3372115571,117973.981798251,105175.129329065,93472.9217579002,104579.455569905,106277.005595809,94742.1046662324,100000.229341771,87044.14258823,107038.39826873,89432.7232267003,90659.7335227387,87347.1131838901,108764.325076934,113798.626993845,97173.2890356169,92638.8290532582,102059.806542496,121749.132702196,119339.693186816,104427.710574822,94521.0380593477,93757.6036972377,106922.976791364,111011.989977752,100384.645465153,101877.108520402,103656.739815403,91206.3184314912,98535.1029579137,93399.415703154,89821.0004199171,106129.625290359,97213.6203611551,101995.275126363,92572.7664614769,108492.245441558,85891.2834413157,100004.319235634,90695.0322434187,95371.4581594469,97909.793458777,104831.200859659,99058.6606129458,100455.185829567,98082.8964274561,96900.0913461746,90592.0226552867,108464.947569695,89452.947501077,99490.1687825651
