"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"errorsum",1042275.14095452,44785.8973970787,42043.5194639794,39507.5311741532,39417.1335097144,39105.157958436,38427.2936704882,38206.6720524004,38106.7834237632,37889.3531179481,37429.1594426957,37466.6978853758,38198.8129799853,39001.2271661624,39835.6933819504,41204.9410084356,41581.580168077,42159.9845753956,42646.9898735111,43114.5409660298,43663.9379594332,43485.785209033,42677.7967102008,42157.9898398505,41117.6647273487,39703.3223186891,38452.9013899003,38238.7343159021,37873.0461170413,37633.7280937983,36921.2209851631,36230.2204458309,36433.0630426749,36224.9899070932,36257.5280086253,37070.6723882784,36269.0791908656,35072.0184851403,33786.9626599526,32389.1621852383,31020.7203587037,30110.3067196173,29976.9517828739,30360.3849905938,31378.459559168,33792.1838922732,36133.7798136337,39855.4657251745,43846.8841883149,46275.8863006281,49080.0839639124,50052.8352692688,52588.8030796113,56165.5088894533,57842.2531282157,60262.0356058255,64615.3261917154,69830.3214664276,75789.2735895372,82897.6330722341,88721.9521506334,95114.6889754121,100559.005518748,108048.948573252,114914.630045975,120963.988033021,128242.661863926,138233.453830872,148494.408256239,157707.122151846,168942.32061548,182553.065925163,196996.047949364,214330.2533646,234392.618118938,253629.833011818,275459.704599614,302967.661967263,337395.810150805,372605.435324222,414667.487641142,465820.801828981,513602.423633021,562748.170757451,611004.255513515,656560.868902897,699938.413773733,739614.206816238,782224.461309424,813912.371232015,837074.839480303,861069.81412246,879647.666483786,900402.447606702,919788.90044508,944960.556653492,977278.257539654,1012051.78665068,1042275.14095452,1042275.14095452
"errorsum",1178802.58797842,65555.7556683314,63180.5416353411,59427.5328516359,57477.5283991807,55471.8012829809,54392.9732224232,53373.7050781104,53003.1067431775,53189.5221566558,52700.1716040286,52177.1103133383,51444.1069238994,50171.1315203216,47554.1681451536,46599.8000936429,45277.3737529489,43758.9611311957,42427.0447199121,40520.1125039825,39566.6746019467,37480.6000638032,35945.3383738236,33172.0656404544,32691.9804840622,32253.5210239779,31827.6893919738,32399.1743508693,32006.8602680906,32464.6007832683,33331.839177381,34390.0999713752,34938.5944024949,35431.9294313416,36294.8439246888,37531.618802009,38608.1819254966,38796.8699279097,38603.8279294542,39036.1890409398,39468.7899015665,40160.2365996953,40982.8322385328,42662.9767779011,44906.8951132399,47401.7952506183,50227.1974748212,50865.7781503052,54642.1572477406,57272.3891913393,60738.1356485405,64338.323804296,68433.1198890839,71273.3411844043,73749.6160220987,77129.2396856902,81312.1983192332,85895.5487164436,90439.4757473553,94070.1679862194,97785.3222727503,101427.059789904,104384.788151885,107677.123699457,111823.250145925,117019.701995774,123284.45203099,129148.454341723,133700.443211798,137656.034033079,142743.172870196,148665.641041412,156037.27211087,165361.753390066,177238.417435402,192541.13184621,209416.729337228,226926.730019032,246263.852717358,263945.661689997,284984.232268009,308286.935145474,331697.309365509,361108.949550738,392292.534271766,416102.538770807,437417.11296481,463076.641778664,493346.544987116,529217.08809127,565723.678440608,606736.761989485,651615.19866718,704877.810049039,773968.137622568,845078.940393704,914741.652430417,999396.690817661,1080979.95681471,1153140.75467463
"errorsum",824593.228146685,25407.713352632,24935.5663843322,24045.3000811726,23768.2235927858,23265.7087176823,22760.6661595248,22276.9690014444,21745.8432547948,25708.6715904279,26417.7645244804,26328.0676725073,25769.7065582648,24783.2730956002,24098.80398208,22592.018720808,21368.7151816157,20625.1534469017,21783.8010998786,21262.7591005345,21536.960169776,21693.3216990677,21962.6714549557,21297.3456968856,20274.2452306283,19126.4497780997,18510.1247607917,18248.0275476893,17162.8131958147,16964.5473920488,16560.6399072654,16025.8285799574,15744.5369044255,15680.7755911425,15761.9946690497,15970.556680821,15693.8380571859,16446.7652471711,17560.0311496415,18713.9302413613,19023.5197128156,19238.6909792811,19470.1140352173,19611.9036449557,20046.7064465532,21056.4117231125,22717.3976607158,24987.9974918254,27014.1219874359,28735.9421705513,30257.6378044745,31784.6117998546,33612.9886778703,35888.7334224453,37943.8689435364,39975.8709798869,41753.1510476151,44163.3710502419,47084.4084686363,50662.8146252415,54781.5479329659,59336.8324133344,64290.429648931,68954.9491573081,73589.6638902368,77766.4657613592,82856.0329439576,88625.2023272144,95568.7140159212,103733.474202105,113371.128752194,124660.080883479,137427.980342003,150961.88750552,166525.571136855,185051.282439797,205531.714465259,230988.686398476,258526.578728878,283884.157364554,303034.022999826,324245.584636567,341349.86359162,359824.380685928,379752.455865705,400561.274328391,424204.403004705,452168.344292687,485454.974548346,524431.677127882,569098.17133387,608110.752523965,640155.962032781,671369.550250475,708235.056093087,748305.612089174,764464.35537582,779032.409628153,797850.757526043,814434.553213236
"errorsum",810629.503196932,170690.185566217,164815.071070229,153165.237141955,141105.286355514,107510.179159186,106642.860565548,105732.234402818,90858.7672207874,89529.2919418998,87369.6613304989,85982.7520052797,84719.3524243242,83842.3600283952,82708.100903449,81196.6436687745,80380.4952727844,78650.3368491828,77232.6777141614,76696.0338761382,76566.4806681724,75599.9682573293,74119.2691628114,70861.9277369841,69496.9461041801,68221.4950699417,66987.7200309851,66374.7122379083,67126.7589414346,68721.6263382911,74198.5007570405,74776.8811712209,74844.2356995362,74313.271055246,73673.4286675396,72690.6305967948,71504.9178427131,70140.0050446861,68683.3559810514,67073.7351790554,65576.7845974484,64221.3070256782,63433.2204110837,62776.9796670874,61777.266783074,61161.3001204913,65675.7172869895,64622.8339090577,63292.0967682737,60493.376694686,61402.8506313275,61549.2173726778,61219.2493610798,60528.795468327,60725.2608697612,61739.075764555,65454.888567502,69226.1779374493,71925.171771415,75588.1234751974,80326.758526722,86378.8859508044,93937.8341570082,102605.160966823,113854.223502046,124597.146524757,135280.401360963,143982.871784878,153910.088342544,163779.310017034,172768.934244631,181429.653471348,191450.233326614,203114.306251118,214441.591109153,226107.533776187,236978.122863965,246621.844421547,257895.716979398,266713.92238805,276136.342817153,287558.616175767,300128.419832054,314686.482819314,331567.383251488,350587.395545292,367782.540776138,387583.936909747,404033.985887416,422846.967410055,446020.839741222,470564.254891475,499918.483332479,531531.613952508,555962.518914631,583346.216174522,616929.616122934,659372.279823295,710416.691420756,763786.526790247
"errorsum",1139319.34178801,30577.8004674792,30138.3636923636,29800.3748056893,30904.2655844185,30419.2986700539,30258.6142462453,29739.7434675517,29267.8280025179,31114.4980529368,31723.778192955,31245.5401919076,30687.1464350782,30422.0920290222,30335.6266426724,30249.0731561666,29848.1934948944,29358.3408601989,25931.6622323873,25682.4647262507,25483.4230560183,25410.9265707071,25309.6284683328,26054.0393280246,27231.6798021838,25480.7973854417,26476.396203299,28109.0681890854,29683.8177393924,28903.3571470566,29844.9818897343,31027.1888659129,32995.9702037221,34652.8882897743,36785.7191897524,38088.8434247885,38648.2824353904,39805.6176747929,40150.3344301567,40320.2477438885,40620.127617527,41021.1567265189,41622.6431412226,42569.9268959898,43975.7124197102,45652.8258807106,47325.8022427232,48851.4701078696,50223.1877693328,51898.2739326175,53924.2207175202,56263.796142527,58841.8347131691,62371.2793030008,66441.1653041601,70789.5608171172,75078.6605349668,77739.2272119177,81081.6823447905,84550.7978522606,88460.054217433,93571.4766218725,98777.1903000054,103554.385616883,108676.915058775,114214.064346946,119588.320476777,126042.542419592,134133.926683973,143648.373354902,152711.774709531,159047.911216697,166430.439781642,174325.740913263,182437.370277112,190426.008862359,197844.417688241,206248.416077848,216471.734909263,228040.74372995,241428.687542662,257301.463778529,275275.33170674,296715.623985507,321744.169087812,351393.535537775,383233.221919777,417370.685777109,459251.124576519,509979.905820692,571399.49956723,638650.765713589,705761.726548415,780256.283357295,855859.331664752,948004.279970601,1035540.95416379,1095916.15967546,1139319.34178801,1139319.34178801
"errorsum",1254893.48711976,84276.5333934035,82611.2571289232,83178.0857987753,83706.3986998426,83866.6346877138,83631.2306597471,84290.6343002778,84349.5172105203,84956.7503200771,84399.0080292129,81813.1371643908,80715.3043858288,78464.5515020111,75355.7150898583,77633.072657037,81245.2258865736,81493.8429906541,80664.3792036465,78110.34683147,75471.5246642561,73045.366818837,70469.777014843,67495.3503923162,64232.7647272695,62136.2988372665,60207.7094535864,58882.5078683365,57342.5592301392,55515.1060595906,53393.6086445033,51218.0788136991,49009.4975277979,47511.6631204894,46875.805575454,46250.0933250823,45616.6082161137,45057.7862224269,44937.488757924,44956.040120617,45035.1704594724,45238.1702969144,45545.3231516143,46118.2306217,46673.7688169647,47265.108775564,47932.890231295,49482.0387538109,51352.913874859,52900.6311354019,54084.5331097466,55922.5944390759,57285.9693406741,59437.7989318224,61984.4688855326,63866.3282249107,66204.0904457862,68884.3764127479,72020.3970500122,76004.8410329279,80250.8354987504,84767.7686297161,88939.641917991,93255.6596496832,96711.2513699338,101324.264949645,104915.519290665,108988.676999914,114014.04377821,120176.186462423,127440.828269215,135850.62844978,144832.458322426,155174.848789356,167474.893792484,183100.769417411,200981.491026875,222926.875988751,249928.554262891,279240.311400361,308060.617746453,339571.076879051,369238.249658506,404601.549687939,444668.648036035,486748.219881286,527950.271656401,574602.031400337,631622.478466016,699636.890927408,767343.813681523,830720.958830883,901616.082397914,974828.11662854,1050978.89453076,1129891.7101317,1187179.35104373,1241122.36788098,1254893.48711976,1254893.48711976
"errorsum",1263281.92231132,73765.3823358182,70739.0578582199,66118.1757052759,63654.3502786186,61108.3236566721,58455.3445609298,55565.5851734561,53419.8457520428,48673.2881521719,44584.3549192942,40934.4922838484,38168.869584461,35496.1665840425,33675.612018023,32471.7398779,31241.459841394,30167.5385667526,29743.5826900465,27948.9771404386,25319.5886756173,23374.9338596767,21867.3663538236,18240.5339607542,16946.1812016136,15735.9995688477,14625.9544405096,13500.9175309764,12141.3453153647,11209.6624314234,10484.5907824468,9942.48824764995,9514.06888331857,9529.91867487983,9663.65158851107,10034.9122401087,10449.9445237338,10761.8851632986,11141.1635757466,11705.6819983737,12390.9869525118,13105.6049517249,13919.1990800817,14569.4727414598,15069.1829617175,15553.5423930833,16223.9253181557,16797.0440545644,17105.0758216902,17508.5207652227,17926.6392316363,18457.6374940518,19249.2022810246,20414.4412826686,21821.0727557578,23609.5550852591,25714.3885846186,27739.5672519517,30257.0984006153,32940.9648897312,36027.5636642792,39425.883730247,43534.9780773911,48099.5886708001,52142.6790460897,56710.835350249,61769.6091492811,65764.939294726,70214.6408910748,75452.0310542994,81734.1816433223,87272.1413545094,92676.4479810439,99106.1492198125,106832.919549406,116186.130707591,127393.823650851,139829.266981746,154080.570685352,170202.759109744,188277.596005101,207235.229034352,229886.051184429,257107.011932383,287924.549033268,321770.908941028,358575.994569004,400391.364058283,439714.645898615,470989.276006091,507170.843022486,551276.442477867,604761.782977155,669425.620987456,746488.674425534,836129.876395964,941476.384797816,1058057.18321976,1152845.30370336,1208774.00106939
"errorsum",881718.762622397,51914.6660412936,51575.3947087245,51088.9791509953,50630.4058881518,50750.3850876573,53635.7417958446,67896.5145199985,67207.4732089702,65383.7108533101,63551.6022288742,62039.7546022379,60353.6681114732,58406.0690512935,56126.8773386726,53969.0353132065,51745.9384321866,49086.2100186103,46838.5653244541,44448.5060656931,42178.1165985598,40026.4203424937,38624.4950907428,37778.1263409601,37477.7685747685,37446.5282399787,37327.9499230472,37760.1445049395,37889.4323725197,37858.1744571189,37697.3957398387,37165.7109953839,36795.3798136595,36544.6865032611,36933.5353477331,37445.9360199056,38075.6155609241,39041.5462608628,39762.8238131005,39887.1112713438,39819.0270313283,39622.3318630581,39549.5177490666,39518.679471217,39571.6176549197,40438.2202564637,41934.6324636812,43898.8094141379,45862.342057348,47221.3234858921,48989.7987533035,50980.6214334745,52456.9951505121,53778.3156170873,55244.5390834766,56430.6114634124,57697.7412070145,58754.4058050326,60549.7128129294,62491.7163083005,63722.569281117,65574.4805695158,67468.3213889051,70229.3546987695,73922.3614269823,77257.3230084271,80940.0284065049,85034.4174452451,88720.7421439886,93128.2011067037,98346.7987049311,104183.392838222,111716.056635817,120694.646688858,131454.395672129,140202.215321856,148186.777634692,155994.99353664,165330.3057436,176987.535899122,191216.251250453,207379.065682017,226398.633639305,243770.670609962,263673.893533917,287928.537673866,317471.924376008,349421.667468097,386407.020473683,434205.574316936,482237.498362901,518205.227648072,560305.850030251,604067.435158273,648475.259868255,696201.110260919,755366.496549134,822042.775117419,866076.734897192,881718.762622397
"errorsum",1328741.9507177,133849.535782021,127162.637398662,119311.205214861,114042.317990309,107355.392283809,90422.5665989354,87153.7810288879,84960.4882497388,81115.2625435258,76129.6414433122,68153.6061285144,61221.0553161917,55819.2861144236,52829.4927946897,48651.9703410704,46578.3309476229,44327.2892434034,42078.3648626492,41387.2122262539,40465.2960431863,39948.362155461,40431.9307342659,41626.2683441706,41757.7689925578,41904.4271068522,41935.91482227,41692.6509362257,41811.0252968768,41530.9908930202,40926.2560072893,39439.5602451584,39284.3646773885,38426.0464139933,37216.4354216853,36765.5327234246,36323.2158214517,36050.0387823928,36205.3165655497,36662.3017531901,37011.0618624902,37525.8230500573,38766.4298325555,40091.5284292893,40054.1754630997,39704.4664377679,39096.7303479514,38928.8489998333,39038.3471386796,39756.1084186908,41245.3416567327,43457.0553027659,45989.706224469,49050.2681573093,53008.6288493719,56429.8008743696,60909.2962244297,63284.299037588,65427.6124024426,67848.4670160198,70674.148959442,73601.9917377365,77148.3139913185,80460.3319267196,83888.7029791737,88338.7469988164,94115.716934068,101630.293636171,110297.191971831,119126.815309889,128251.160650035,138456.885222753,144823.505480553,152709.1000837,162033.076405355,172110.475332967,182755.879800813,195173.815270216,209954.203442365,228886.315860261,252080.368738701,278969.609433204,310581.790735308,349697.425566017,391653.810701968,431338.124906535,478820.516279575,533872.267688923,580166.507996524,625746.340553619,677180.118830106,733556.294282042,798246.971939359,868551.799609084,933929.600881617,1011082.57422566,1098698.58692751,1198536.06370764,1295715.61970861,1328741.9507177
"errorsum",668781.361496199,62893.7993559136,61836.1698529226,61022.5576760214,61831.8443545195,61760.7625536554,61317.4686810967,60310.76513916,59083.4406497667,57944.7534372939,56213.7323127313,54554.0288856351,52898.0689570283,50937.3187341809,48688.0055724022,44029.1439168734,41991.2389951873,38987.522423459,37594.1978939203,35963.8174842879,34363.7165320973,33632.6068468593,33547.4259349042,32888.9521599924,31986.5388411392,30640.825850338,29009.0787938627,27204.1390608521,24781.8138030963,23670.1077018538,23194.7051622011,23154.3595682972,23072.4265103953,23088.15741402,23073.1362652823,23088.8903740311,23295.284113743,23248.3353489105,23366.222698875,23730.7592532505,24228.7767655351,24753.2141183766,25137.5722647754,26577.5958510586,27923.6679236271,29333.8224461739,30778.447028579,32625.670625446,34927.6305515637,37485.3936578487,40481.1961857059,43977.9226707798,48179.8492634274,52055.4733007074,54434.9124782943,57310.8686478885,59518.1715149482,61864.5867339744,64175.6582295677,67163.830648841,70405.8534143445,73994.2797451892,78221.0234929843,82665.8720564676,86921.1864881022,92281.0568283443,98785.5693072229,105054.329689794,110699.114806091,116976.574649452,123458.754289408,129981.458253793,138641.777054731,149060.531798857,159170.691773711,165436.671710241,173483.004885465,184284.648393206,194427.10295183,206462.591911127,221476.345940614,239423.849274313,259994.61846368,278835.485054549,293166.753754819,302852.615440427,314524.957831032,327667.423473991,344006.018676732,364165.747254293,389637.870668342,422530.271485873,460244.927518786,495996.206976426,533043.031506147,572464.155750235,603822.008613769,630651.776127502,652357.010687598,664389.124245381
